,Номер,Адрес,Регион,От,До,Описание,Ссылка,Категории,Начальная цена
0,85853737,"Минский район, д. Дубовый Лес",Санкт-Петербург город,2025-08-15 22:56:01,2025-08-25 14:00:00,Поставка анодных заземлителей для нужд ОАО Газпром трансгаз Беларусь,/region/sankt-peterburg-gorod/85853737-tender-postavka-anodnyh-zazemlitelej-dlya-nujd-oao-gazprom-transgaz-belarus,"['Электрическая распределительная и регулирующая аппаратура, Электроустановочные изделия, Электронные компоненты']",5 066 943 ₽
1,85853719,г. Пенза;г. Самара,Пензенская область,2025-08-15 22:56:01,2025-08-27 11:00:00,"выполнение работ по техническому обследованию и выполнению предпроектных работ по объекту: ""Реконструкция/модернизация ОСВ площадки ""Кирпичная"", производительностью 250000 куб. м/сут. "" для нужд ООО ""Горводоканал""",/tender/85853719,"['Обследование несущих конструкций, Дефектоскопия, Неразрушающий контроль', 'Очистное и Фильтрующее оборудование и материалы, монтаж и обслуживание']",35 764 304 ₽
2,85853723,"Заполярный район, п. Варандей",Ненецкий автономный округ,2025-08-15 22:56:01,2025-08-29 16:00:00,Оказание услуг по проведению производственного экологического контроля и мониторинга в вахтовом поселке Варандей и на МЛСП Приразломная,/region/neneckij-avtonomnyj-okrug/85853723-tender-okazanie-uslug-po-provedeniyu-proizvodstvennogo-ekologicheskogo-kontrolya-i-monitoringa-v-vahtovom-poselke-varandej-i-na-mlsp,"['Инженерно-экологические изыскания', 'Технический надзор, Технические испытания, Экспертиза промышленной безопасности']",—
3,85858849,г. Новороссийск,Краснодарский край,2025-08-15 22:55:03,2025-08-25 09:00:00,"Ремонт корпусов МАУ ДОЛ Глобус по адресу: г. Новороссийск, с. Южная Озереевка, ул. Ильича, 1",/region/krasnodarskij-kraj/85858849-tender-remont-korpusov-mau-dol-globus-po-adresu-g-novorossijsk-s-yujnaya-ozereevka-ul-ilicha-1,['Ремонт зданий и сооружений'],2 733 350 ₽
4,85858830,Санкт-Петербург,Санкт-Петербург город,2025-08-15 22:54:03,2025-08-22 00:00:00,Шкафы и стойки телекоммуникационные; Щитовое оборудование,/region/sankt-peterburg-gorod/85858830-tender-shkafy-i-stojki-telekommunikacionnye-shchitovoe-oborudovanie,"['Электрическая распределительная и регулирующая аппаратура, Электроустановочные изделия, Электронные компоненты', 'Телекоммуникационное оборудование и материалы, Оборудование связи']",—
5,85858827,г. Москва,Москва город,2025-08-15 22:52:01,2025-08-26 23:00:00,Поставка продукции в категории Запорная арматура в 2025 г. для подразделений АО РУСАЛ (3-й этап торгов),/region/moskva-gorod/85858827-tender-postavka-produkcii-v-kategorii-zapornaya-armatura-v-2025-g-dlya-podrazdelenij-ao-rusal-3-j-etap-torgov,"['Трубопроводная и запорная арматура, радиаторы', 'Стальные изделия, Металлопрокат, Листовой прокат из стали и черных металлов', 'Контрольно-измерительные приборы и автоматика, монтаж и обслуживание', 'Резина, Каучук', 'Программное обеспечение (юридическое, бухгалтерское, информационно-справочные системы). Сопровождение']",—
6,85853714,г. Санкт-Петербург,Санкт-Петербург город,2025-08-15 22:52:01,2025-08-25 09:30:00,"Закупка в области: Продукция минеральная неметаллическая прочая, не включенная в другие группировки; Изделия из резины прочие; Оборудование специального назначения прочее, не включенное в другие группировки; Изделия готовые прочие, не включенные в другие группировки; Стекловолокно; Изделия пластмассовые строительные; Изделия пластмассовые прочие",/region/sankt-peterburg-gorod/85853714-tender-zakupka-v-oblasti-produkciya-mineralnaya-nemetallicheskaya-prochaya-ne-vklyuchennaya-v-drugie-gruppirovki-izdeliya-iz-reziny-prochie,"['Строительные материалы', 'Прочее оборудование промышленного назначения', 'Резинотехнические изделия', 'Неметаллические полезные ископаемые, минералы, горные породы', 'Полимерные, фторопластовые и другие пластиковые изделия технического назначения']",7 153 778 ₽
7,85858826,г. Владикавказ,Северная Осетия - Алания республика,2025-08-15 22:51:01,2025-08-26 09:00:00,Оказание услуг по санитарно-технической уборке помещений,/region/severnaya-osetiya---alaniya-respublika/85858826-tender-okazanie-uslug-po-sanitarno-tehnicheskoj-uborke-pomeshchenij,['Клининговые услуги'],106 000 ₽
8,85853709,г. Санкт-Петербург,Санкт-Петербург город,2025-08-15 22:50:06,2025-08-25 09:30:00,Закупка в области: Компьютеры и периферийное оборудование,/region/sankt-peterburg-gorod/85853709-tender-zakupka-v-oblasti-kompyutery-i-periferijnoe-oborudovanie,"['Вычислительное оборудование, Компьютеры, Серверы и их части']",13 600 573 ₽
9,85858821,г. Калининград,Калининградская область,2025-08-15 22:50:01,2025-08-25 13:00:00,Оказание услуг по техническому обслуживанию и ремонту системы видеонаблюдения,/region/kaliningradskaya-oblast/85858821-tender-okazanie-uslug-po-tehnicheskomu-obslujivaniyu-i-remontu-sistemy-videonablyudeniya,"['Проектирование, монтаж и обслуживание сигнализации, пожароохранных, контрольно-пропускных систем и оборудования']",200 000 ₽
